Name,Total Area,Residential Area,Population,Latitude,Longitude
Ang Mo Kio,6.38,2.83,"149,800",1.3242500000000632,103.95297000000005
Bedok,9.37,4.18,"204,300",1.3507900000000745,103.85110000000009
Bishan,6.90,1.72,"65,700",1.349520000000041,103.75277000000006
Bukit Batok,7.85,2.91,"113,800",1.2832199522478398,103.81675993782109
Bukit Merah,8.58,3.12,"147,000",1.3787700000000314,103.76977000000005
Bukit Panjang,4.89,2.19,"119,300",1.3861600000000749,103.74618000000004
Choa Chu Kang,5.83,3.07,"161,100",1.3143800000000283,103.76537000000008
Clementi,4.12,2.03,"72,500",1.3114700000000425,103.88218000000006
Geylang,6.78,2.14,"91,900",1.371240000000057,103.89162000000005
Hougang,13.09,3.67,"179,800",1.3343700000000354,103.74367000000007
Jurong East,3.84,1.65,"80,300",1.339490000000069,103.70739000000003
Jurong West,9.87,4.80,"260,000",1.320717484500257,103.86386256607433
Kallang/Whampoa,7.99,2.10,"105,500",1.371940000000052,103.94994000000008
Pasir Ris,6.01,3.18,"111,000",1.402460000000076,103.90686000000005
Punggol,9.57,3.74,"99,500",1.299660000000074,103.80172000000005
Queenstown,6.94,2.10,"82,100",1.4479400000000737,103.81891000000007
Sembawang,7.08,3.31,"71,600",1.3924600000000282,103.89459000000005
Sengkang,10.55,3.97,"186,500",1.355540000000076,103.87660000000005
Serangoon,7.37,1.63,"73,000",1.3681900000000269,103.92948000000007
Tampines,12.00,5.49,"239,100",1.3344800000000419,103.85108000000008
Toa Payoh,5.56,2.48,"107,500",1.4358500000000731,103.78698000000009
Woodlands,11.98,4.80,"243,100",1.4362100000000737,103.83582000000007
Yishun,7.78,3.98,"186,600",,
